Episode_ID,Title,Rating
S07E01,"S7.E1 ∙ Nepotism",8.2
S07E02,"S7.E2 ∙ Counseling",8.0
S07E03,"S7.E3 ∙ Andy's Play",8.1
S07E04,"S7.E4 ∙ Sex Ed",7.7
S07E05,"S7.E5 ∙ The Sting",7.6
S07E06,"S7.E6 ∙ Costume Contest",8.0
S07E07,"S7.E7 ∙ Christening",7.2
S07E08,"S7.E8 ∙ Viewing Party",7.7
S07E09,"S7.E9 ∙ WUPHF.com",7.5
S07E10,"S7.E10 ∙ China",8.0
S07E11,"S7.E11 ∙ Classy Christmas, Part 1",8.8
S07E12,"S7.E12 ∙ Classy Christmas, Part 2",8.6
S07E13,"S7.E13 ∙ Ultimatum",8.1
S07E14,"S7.E14 ∙ The Seminar",7.5
S07E15,"S7.E15 ∙ The Search",8.4
S07E16,"S7.E16 ∙ PDA",8.2
S07E17,"S7.E17 ∙ Threat Level Midnight",9.3
S07E18,"S7.E18 ∙ Todd Packer",7.3
S07E19,"S7.E19 ∙ Garage Sale",9.3
S07E20,"S7.E20 ∙ Training Day",7.5
S07E21,"S7.E21 ∙ Michael's Last Dundies",8.9
S07E22,"S7.E22 ∙ Goodbye, Michael",9.8
S07E23,"S7.E23 ∙ Goodbye, Michael Part 2",9.6
S07E24,"S7.E24 ∙ The Inner Circle",7.4
S07E25,"S7.E25 ∙ Dwight K. Schrute, (Acting) Manager",8.5
S07E26,"S7.E26 ∙ Search Committee",8.5
S07E27,"S7.E27 ∙ Search Committee, Part 2",8.1
S08E01,"S8.E1 ∙ The List",7.9
S08E02,"S8.E2 ∙ The Incentive",7.9
S08E03,"S8.E3 ∙ Lotto",7.1
S08E04,"S8.E4 ∙ Garden Party",8.0
S08E05,"S8.E5 ∙ Spooked",7.3
S08E06,"S8.E6 ∙ Doomsday",7.4
S08E07,"S8.E7 ∙ Pam's Replacement",7.5
S08E08,"S8.E8 ∙ Gettysburg",6.6
S08E09,"S8.E9 ∙ Mrs. California",7.5
S08E10,"S8.E10 ∙ Christmas Wishes",7.7
S08E11,"S8.E11 ∙ Trivia",7.7
S08E12,"S8.E12 ∙ Pool Party",7.9
S08E13,"S8.E13 ∙ Jury Duty",7.3
S08E14,"S8.E14 ∙ Special Project",7.5
S08E15,"S8.E15 ∙ Tallahassee",7.6
S08E16,"S8.E16 ∙ After Hours",7.9
S08E17,"S8.E17 ∙ Test the Store",7.6
S08E18,"S8.E18 ∙ Last Day in Florida",7.6
S08E19,"S8.E19 ∙ Get the Girl",6.3
S08E20,"S8.E20 ∙ Welcome Party",6.7
S08E21,"S8.E21 ∙ Angry Andy",6.6
S08E22,"S8.E22 ∙ Fundraiser",6.8
S08E23,"S8.E23 ∙ Turf War",7.4
S08E24,"S8.E24 ∙ Free Family Portrait Studio",7.5
S09E01,"S9.E1 ∙ New Guys",7.3
S09E02,"S9.E2 ∙ Roy's Wedding",6.8
S09E03,"S9.E3 ∙ Andy's Ancestry",7.1
S09E04,"S9.E4 ∙ Work Bus",7.6
S09E05,"S9.E5 ∙ Here Comes Treble",6.7
S09E06,"S9.E6 ∙ The Boat",7.5
S09E07,"S9.E7 ∙ The Whale",7.4
S09E08,"S9.E8 ∙ The Target",7.7
S09E09,"S9.E9 ∙ Dwight Christmas",8.2
S09E10,"S9.E10 ∙ Lice",7.4
S09E11,"S9.E11 ∙ Suit Warehouse",7.5
S09E12,"S9.E12 ∙ Customer Loyalty",7.6
S09E13,"S9.E13 ∙ Junior Salesman",7.3
S09E14,"S9.E14 ∙ Vandalism",7.1
S09E15,"S9.E15 ∙ Couples Discount",6.9
S09E16,"S9.E16 ∙ Moving On",7.7
S09E17,"S9.E17 ∙ The Farm",7.3
S09E18,"S9.E18 ∙ Promos",7.7
S09E19,"S9.E19 ∙ Stairmageddon",7.8
S09E20,"S9.E20 ∙ Paper Airplane",7.8
S09E21,"S9.E21 ∙ Livin' the Dream",9.0
S09E22,"S9.E22 ∙ A.A.R.M.",9.4
S09E23,"S9.E23 ∙ Finale",9.8
