Episode_ID,Title,Rating
S07E05,"S7.E5 ∙ Fat Butt and Pancake Head",8.4
S07E06,"S7.E6 ∙ Lil' Crime Stoppers",8.6
S07E07,"S7.E7 ∙ Red Man's Greed",7.6
S07E08,"S7.E8 ∙ South Park Is Gay",8.1
S07E09,"S7.E9 ∙ Christian Rock Hard",9.0
S07E10,"S7.E10 ∙ Grey Dawn",8.1
S07E11,"S7.E11 ∙ Casa Bonita",9.2
S07E12,"S7.E12 ∙ All About Mormons",8.9
S07E13,"S7.E13 ∙ Butt Out",7.8
S07E14,"S7.E14 ∙ Raisins",8.6
S07E15,"S7.E15 ∙ It's Christmas in Canada",7.5
S08E01,"S8.E1 ∙ Good Times with Weapons",9.2
S08E02,"S8.E2 ∙ Up the Down Steroid",8.6
S08E03,"S8.E3 ∙ The Passion of the Jew",8.6
S08E04,"S8.E4 ∙ You Got F'd in the A",8.1
S08E05,"S8.E5 ∙ AWESOM-O",9.2
S08E06,"S8.E6 ∙ The Jeffersons",8.6
S08E07,"S8.E7 ∙ Goobacks",8.3
S08E08,"S8.E8 ∙ Douche and Turd",8.4
S08E09,"S8.E9 ∙ Something Wall-Mart This Way Comes",8.6
S08E10,"S8.E10 ∙ Pre-School",8.4
S08E11,"S8.E11 ∙ Quest for Ratings",8.2
S08E12,"S8.E12 ∙ Stupid Spoiled Whore Video Playset",8.4
S08E13,"S8.E13 ∙ Cartman's Incredible Gift",8.6
S08E14,"S8.E14 ∙ Woodland Critter Christmas",9.1
S09E01,"S9.E1 ∙ Mr. Garrison's Fancy New Vagina",7.6
S09E02,"S9.E2 ∙ Die Hippie, Die",8.6
S09E03,"S9.E3 ∙ Wing",7.4
S09E04,"S9.E4 ∙ Best Friends Forever",8.5
S09E05,"S9.E5 ∙ The Losing Edge",8.8
S09E06,"S9.E6 ∙ The Death of Eric Cartman",9.2
S09E07,"S9.E7 ∙ Erection Day",7.6
S09E08,"S9.E8 ∙ Two Days Before the Day After Tomorrow",8.4
S09E09,"S9.E9 ∙ Marjorine",8.8
S09E10,"S9.E10 ∙ Follow That Egg",8.0
S09E11,"S9.E11 ∙ Ginger Kids",8.8
S09E12,"S9.E12 ∙ Trapped in the Closet",9.1
S09E13,"S9.E13 ∙ Free Willzyx",8.1
S09E14,"S9.E14 ∙ Bloody Mary",7.9
S10E01,"S10.E1 ∙ The Return of Chef",8.0
S10E02,"S10.E2 ∙ Smug Alert!",8.1
S10E03,"S10.E3 ∙ Cartoon Wars: Part 1",8.7
S10E04,"S10.E4 ∙ Cartoon Wars: Part 2",8.8
S10E05,"S10.E5 ∙ A Million Little Fibers",6.1
S10E06,"S10.E6 ∙ ManBearPig",7.9
S10E07,"S10.E7 ∙ Tsst",9.1
S10E08,"S10.E8 ∙ Make Love, Not Warcraft",9.5
S10E09,"S10.E9 ∙ Mystery of the Urinal Deuce",8.2
S10E10,"S10.E10 ∙ Miss Teacher Bangs a Boy",8.5
S10E11,"S10.E11 ∙ Hell on Earth 2006",8.0
S10E12,"S10.E12 ∙ Go God Go",8.5
S10E13,"S10.E13 ∙ Go God Go XII",8.6
S10E14,"S10.E14 ∙ Stanley's Cup",7.4
S11E01,"S11.E1 ∙ With Apologies to Jesse Jackson",8.9
